,id,textbook_link,course_id
0,205,https://mubert.marshall.edu/coursecosts.php?crn=2089&subj=ART&sec=205&course=112&term=202502,ART112
0,206,https://mubert.marshall.edu/coursecosts.php?crn=2090&subj=ART&sec=206&course=112&term=202502,ART112
0,207,https://mubert.marshall.edu/coursecosts.php?crn=5439&subj=ART&sec=207&course=112&term=202502,ART112
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2091&subj=ART&sec=201&course=202&term=202502,ART202
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2092&subj=ART&sec=201&course=214&term=202502,ART214
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2093&subj=ART&sec=202&course=214&term=202502,ART214
0,203,N/A,ART214
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2094&subj=ART&sec=201&course=215&term=202502,ART215
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2095&subj=ART&sec=202&course=215&term=202502,ART215
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2096&subj=ART&sec=201&course=217&term=202502,ART217
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2097&subj=ART&sec=202&course=217&term=202502,ART217
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2098&subj=ART&sec=201&course=218&term=202502,ART218
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2099&subj=ART&sec=202&course=218&term=202502,ART218
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2100&subj=ART&sec=201&course=219&term=202502,ART219
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2101&subj=ART&sec=202&course=219&term=202502,ART219
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2102&subj=ART&sec=201&course=298&term=202502,ART298
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2103&subj=ART&sec=201&course=299&term=202502,ART299
0,201,N/A,ART301
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2105&subj=ART&sec=201&course=307&term=202502,ART307
0,201,N/A,ART308
0,201,N/A,ART314
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2108&subj=ART&sec=201&course=320&term=202502,ART320
0,201,N/A,ART325
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2110&subj=ART&sec=201&course=327&term=202502,ART327
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2111&subj=ART&sec=201&course=329&term=202502,ART329
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2112&subj=ART&sec=201&course=335&term=202502,ART335
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2113&subj=ART&sec=202&course=335&term=202502,ART335
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2114&subj=ART&sec=203&course=335&term=202502,ART335
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2115&subj=ART&sec=201&course=340&term=202502,ART340
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2116&subj=ART&sec=201&course=343&term=202502,ART343
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2117&subj=ART&sec=201&course=350&term=202502,ART350
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2118&subj=ART&sec=201&course=351&term=202502,ART351
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2119&subj=ART&sec=201&course=389&term=202502,ART389
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2120&subj=ART&sec=201&course=415&term=202502,ART415
0,201,N/A,ART419
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2122&subj=ART&sec=201&course=425&term=202502,ART425
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2123&subj=ART&sec=201&course=434&term=202502,ART434
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2124&subj=ART&sec=201&course=440&term=202502,ART440
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2125&subj=ART&sec=201&course=443&term=202502,ART443
0,201,N/A,ART446
0,201,N/A,ART448
0,201,N/A,ART454
0,201,N/A,ART481
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2132&subj=ART&sec=201&course=482&term=202502,ART482
0,201,N/A,ART485
0,202,https://mubert.marshall.edu/coursecosts.php?crn=5247&subj=ART&sec=202&course=485&term=202502,ART485
0,201,N/A,ART486
0,201,N/A,ART489
0,201,N/A,ART490
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2135&subj=ART&sec=201&course=491&term=202502,ART491
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2136&subj=ART&sec=201&course=497&term=202502,ART497
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2137&subj=ART&sec=202&course=497&term=202502,ART497
0,201,N/A,ART498
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2139&subj=AVSC&sec=201&course=102&term=202502,AVSC102
0,202,https://mubert.marshall.edu/coursecosts.php?crn=5484&subj=AVSC&sec=202&course=102&term=202502,AVSC102
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2140&subj=AVSC&sec=201&course=200&term=202502,AVSC200
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2141&subj=AVSC&sec=202&course=200&term=202502,AVSC200
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2142&subj=AVSC&sec=203&course=200&term=202502,AVSC200
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2143&subj=AVSC&sec=201&course=205&term=202502,AVSC205
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2144&subj=AVSC&sec=202&course=205&term=202502,AVSC205
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2145&subj=AVSC&sec=203&course=205&term=202502,AVSC205
0,204,https://mubert.marshall.edu/coursecosts.php?crn=2146&subj=AVSC&sec=204&course=205&term=202502,AVSC205
0,205,https://mubert.marshall.edu/coursecosts.php?crn=2147&subj=AVSC&sec=205&course=205&term=202502,AVSC205
0,206,https://mubert.marshall.edu/coursecosts.php?crn=2148&subj=AVSC&sec=206&course=205&term=202502,AVSC205
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2149&subj=AVSC&sec=201&course=210&term=202502,AVSC210
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2150&subj=AVSC&sec=202&course=210&term=202502,AVSC210
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2151&subj=AVSC&sec=203&course=210&term=202502,AVSC210
0,204,https://mubert.marshall.edu/coursecosts.php?crn=2152&subj=AVSC&sec=204&course=210&term=202502,AVSC210
0,205,https://mubert.marshall.edu/coursecosts.php?crn=2153&subj=AVSC&sec=205&course=210&term=202502,AVSC210
0,206,https://mubert.marshall.edu/coursecosts.php?crn=2154&subj=AVSC&sec=206&course=210&term=202502,AVSC210
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2155&subj=AVSC&sec=201&course=215&term=202502,AVSC215
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2156&subj=AVSC&sec=202&course=215&term=202502,AVSC215
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2157&subj=AVSC&sec=201&course=220&term=202502,AVSC220
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2158&subj=AVSC&sec=202&course=220&term=202502,AVSC220
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2159&subj=AVSC&sec=201&course=231&term=202502,AVSC231
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2160&subj=AVSC&sec=201&course=305&term=202502,AVSC305
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2161&subj=AVSC&sec=202&course=305&term=202502,AVSC305
0,201,https://mubert.marshall.edu/coursecosts.php?crn=5444&subj=AVSC&sec=201&course=310&term=202502,AVSC310
0,201,https://mubert.marshall.edu/coursecosts.php?crn=5483&subj=AVSC&sec=201&course=311&term=202502,AVSC311
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2162&subj=AVSC&sec=201&course=315&term=202502,AVSC315
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2163&subj=AVSC&sec=201&course=329&term=202502,AVSC329
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2164&subj=AVSC&sec=201&course=330&term=202502,AVSC330
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2165&subj=AVSC&sec=202&course=330&term=202502,AVSC330
0,201,https://mubert.marshall.edu/coursecosts.php?crn=5242&subj=AVSC&sec=201&course=335&term=202502,AVSC335
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2166&subj=AVSC&sec=201&course=340&term=202502,AVSC340
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2167&subj=AVSC&sec=202&course=340&term=202502,AVSC340
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2168&subj=AVSC&sec=201&course=345&term=202502,AVSC345
